match_id,favorite,underdog,fav_prob,dog_prob,prob_gap,score,dog_possession_diff,dog_shots_diff,dog_sot_diff,dog_corners_diff,fav_fouls_minus_dog,fav_reds,dog_reds,fav_yellows,dog_yellows,dog_saves,fav_saves,dominance_index,gods_hand_index
15,Uruguay,Saudi Arabia,0.79,0.05,0.73,1-1,-36,-20,-7,-10,-5,0,0,0,1,8,2,-5.45,0.8
13,Spain,Cabo Verde,0.93,0.02,0.91,0-0,-48,-17,-7,-10,9,0,0,1,1,7,6,-2.41,0.77
47,England,Ghana,0.91,0.02,0.88,0-0,-18,-2,-1,-3,-4,0,0,1,1,3,2,-1.68,0.68
5,Switzerland,Qatar,0.74,0.07,0.67,1-1,-30,-20,-4,-7,-1,0,0,1,2,4,2,-2.9,0.52
21,Portugal,Congo DR,0.83,0.04,0.79,1-1,-43,1,1,-1,-1,0,0,3,1,3,5,-1.1,0.52
40,Uruguay,Cabo Verde,0.87,0.03,0.84,2-2,30,5,3,7,-7,0,0,2,2,2,5,2.45,0.31
16,IR Iran,New Zealand,0.8,0.05,0.75,2-2,2,-3,4,-3,2,0,0,1,0,7,5,1.82,0.25
3,Canada,Bosnia and Herzegovina,0.57,0.14,0.43,1-1,-23,-5,-1,-5,-3,0,0,2,3,5,3,-2.03,0.18
76,Netherlands,Morocco,0.51,0.17,0.34,1-1,-40,-5,-3,-3,-3,0,0,1,1,5,1,-2.8,0.14
75,Germany,Paraguay,0.84,0.04,0.8,1-1,52,14,3,10,-6,0,0,3,3,2,6,4.2,0.13
37,Belgium,IR Iran,0.51,0.17,0.34,0-0,-29,-16,-6,-2,-2,1,0,1,1,8,2,-2.59,0.12
14,Belgium,Egypt,0.68,0.09,0.59,1-1,-14,-1,0,5,0,0,0,2,2,2,2,1.31,0.11
26,Czechia,South Africa,0.57,0.14,0.42,1-1,-28,-3,-1,0,-2,0,0,2,1,3,4,-1,0.1
96,Colombia,Switzerland,0.54,0.16,0.38,0-0,-14,-7,-2,-3,-3,0,0,2,3,5,3,-1.49,0.09
6,Brazil,Morocco,0.5,0.18,0.32,1-1,-10,2,-2,-4,2,0,0,2,0,4,3,-0.27,-0.07
56,Australia,Paraguay,0.45,0.21,0.24,0-0,-12,-4,-3,-2,-3,0,0,1,1,6,3,-1.44,-0.08
34,Ecuador,Curaçao,0.86,0.03,0.83,0-0,26,23,14,9,2,0,0,5,1,15,15,7.5,-0.1
10,Netherlands,Japan,0.48,0.19,0.29,2-2,-22,-1,0,-1,0,0,0,3,0,3,3,-0.21,-0.11
60,Japan,Sweden,0.46,0.2,0.26,1-1,-2,-2,-1,-1,-3,0,0,1,2,4,3,-0.37,-0.14
62,IR Iran,Egypt,0.43,0.22,0.21,1-1,-6,-1,0,0,-1,0,0,4,3,3,3,0.4,-0.25
69,Portugal,Colombia,0.41,0.24,0.17,0-0,-10,-11,-4,-3,6,0,0,1,0,6,2,0.48,-0.3
68,Austria,Algeria,0.44,0.22,0.22,3-3,0,2,2,-3,4,0,0,1,0,0,2,1.78,-0.35
86,Australia,Egypt,0.36,0.27,0.09,1-1,16,5,2,2,2,0,0,0,0,2,4,2.92,-0.58
64,Saudi Arabia,Cabo Verde,0.33,0.3,0.03,0-0,2,9,0,2,6,0,0,3,1,3,6,2.89,-0.64
